ts,event_strength,neg_boost,lambda,w_t
2019-03-08 05:00:00,0.0,1.0,1.0,0.0
2019-03-08 06:00:00,0.0,1.0,1.0,0.0
2019-03-08 07:00:00,0.0,1.0,1.0,0.0
2019-03-08 08:00:00,0.0,1.0,1.0,0.0
2019-03-08 09:00:00,0.0,1.0,1.0,0.0
2019-03-08 10:00:00,0.0,1.0,1.0,0.0
2019-03-08 11:00:00,0.0,1.0,1.0,0.0
2019-03-08 12:00:00,0.0,1.0,1.0,0.0
2019-03-08 13:00:00,0.0,1.0,1.0,0.0
2019-03-08 14:00:00,0.0,1.0,1.0,0.0
2019-03-08 15:00:00,0.0,1.0,1.0,0.0
2019-03-08 16:00:00,0.0,1.0,1.0,0.0
2019-03-08 17:00:00,0.0,1.0,1.0,0.0
2019-03-08 18:00:00,0.0,1.0,0.8877282340257853,0.0
2019-03-08 19:00:00,0.0,1.0,0.8453271132216664,0.0
2019-03-08 20:00:00,0.0,1.0,0.8401775344047853,0.0
2019-03-08 21:00:00,0.0,1.0,0.8391997660137913,0.0
2019-03-10 22:00:00,0.0,1.0,0.8352679798088919,0.0
2019-03-10 23:00:00,0.0,1.0,0.8392215531013927,0.0
2019-03-11 00:00:00,0.0,1.0,0.8413631617601842,0.0
2019-03-11 01:00:00,0.0,1.0,0.8360877409038666,0.0
2019-03-11 02:00:00,0.0,1.0,0.8313645932209244,0.0
2019-03-11 03:00:00,0.0,1.0,0.8323363046026949,0.0
2019-03-11 04:00:00,0.0,1.0,0.8352308706924775,0.0
2019-03-11 05:00:00,0.0,1.0,0.8413687596868391,0.0
2019-03-11 06:00:00,0.0,1.0,0.8479194084991422,0.0
2019-03-11 07:00:00,0.0,1.0,0.8636373592582457,0.0
2019-03-11 08:00:00,0.0,1.0,0.8474262385864373,0.0
2019-03-11 10:00:00,0.0,1.0,0.8455845497093268,0.0
2019-03-11 11:00:00,0.0,1.0,0.8657670135508837,0.0
2019-03-11 12:00:00,0.0,1.0,0.8677493619694202,0.0
2019-03-11 13:00:00,0.0,1.0,0.890229864492572,0.0
2019-03-11 14:00:00,0.0,1.0,0.9332881586398959,0.0
2019-03-11 15:00:00,0.0,1.0,0.9943748105645746,0.0
2019-03-11 16:00:00,0.0,1.0,0.9400026112961608,0.0
2019-03-11 17:00:00,0.0,1.0,0.9529283508195108,0.0
2019-03-11 18:00:00,0.0,1.0,0.9972463465075851,0.0
2019-03-11 19:00:00,0.0,1.0,1.0,0.0
2019-03-11 20:00:00,0.0,1.0,1.0,0.0
2019-03-11 22:00:00,0.0,1.0,1.0,0.0
2019-03-11 23:00:00,0.0,1.0,1.0,0.0
2019-03-12 00:00:00,0.0,1.0,1.0,0.0
2019-03-12 01:00:00,0.0,1.0,1.0,0.0
2019-03-12 02:00:00,0.0,1.0,1.0,0.0
2019-03-12 03:00:00,0.0,1.0,1.0,0.0
2019-03-12 04:00:00,0.0,1.0,1.0,0.0
2019-03-12 05:00:00,0.0,1.0,1.0,0.0
2019-03-12 06:00:00,0.0,1.0,1.0,0.0
2019-03-12 07:00:00,0.0,1.0,1.0,0.0
2019-03-12 08:00:00,0.0,1.0,1.0,0.0
2019-03-12 09:00:00,0.0,1.0,1.0,0.0
2019-03-12 10:00:00,0.0,1.0,1.0,0.0
2019-03-12 11:00:00,0.0,1.0,1.0,0.0
2019-03-12 12:00:00,0.0,1.0,1.0,0.0
2019-03-12 13:00:00,0.0,1.0,0.9493812428696089,0.0
2019-03-12 14:00:00,0.0,1.0,0.9904007169403493,0.0
2019-03-12 15:00:00,0.0,1.0,1.0,0.0
2019-03-12 16:00:00,0.0,1.0,0.9616470448242976,0.0
2019-03-12 17:00:00,0.0,1.0,0.9997662656382234,0.0
2019-03-12 18:00:00,0.0,1.0,1.0,0.0
2019-03-12 19:00:00,0.0,1.0,1.0,0.0
2019-03-12 20:00:00,0.0,1.0,0.9920392993391511,0.0
2019-03-12 22:00:00,0.0,1.0,0.9919498365053332,0.0
2019-03-12 23:00:00,0.0,1.0,1.0,0.0
2019-03-13 00:00:00,0.0,1.0,1.0,0.0
2019-03-13 01:00:00,0.0,1.0,0.9963547260231027,0.0
2019-03-13 02:00:00,0.0,1.0,1.0,0.0
2019-03-13 03:00:00,0.0,1.0,0.9997938708992011,0.0
2019-03-13 04:00:00,0.0,1.0,0.9973249474278321,0.0
